Length,Head Depth
0.55,0.19
0.78,0.18
0.90,0.19
0.90,0.20
0.96,0.18
0.98,0.23
0.98,0.28
1.00,0.19
1.00,0.20
1.00,0.23
1.00,0.23
1.00,0.25
1.00,0.26
1.05,0.20
1.05,0.24
1.07,0.25
1.08,0.28
1.10,0.23
1.10,0.23
1.10,0.31
1.13,0.22
1.13,0.22
1.13,0.23
1.13,0.23
1.18,0.25
1.20,0.20
1.20,0.21
1.20,0.24
1.20,0.25
1.20,0.26
1.20,0.26
1.20,0.26
1.20,0.26
1.20,0.28
1.20,0.29
1.21,0.30
1.25,0.22
1.28,0.21
1.28,0.25
1.28,0.28
1.35,0.21
1.38,0.31
1.40,0.27
1.40,0.32
1.40,0.34
1.40,0.36
1.40,0.37
1.43,0.30
1.45,0.23
1.45,0.29
1.45,0.30
1.46,0.30
1.48,0.32
1.50,0.26
1.50,0.29
1.50,0.29
1.50,0.30
1.50,0.30
1.50,0.31
1.50,0.33
1.50,0.33
1.50,0.36
1.53,0.29
1.60,0.30
1.60,0.30
1.60,0.32
1.60,0.32
1.60,0.32
1.60,0.32
1.60,0.34
1.60,0.34
1.60,0.35
1.60,0.36
1.60,0.37
1.60,0.38
1.60,0.39
1.60,0.40
1.68,0.39
1.70,0.30
1.70,0.30
1.70,0.31
1.70,0.32
1.70,0.32
1.70,0.37
1.70,0.38
1.70,0.39
1.70,0.40
1.70,0.40
1.70,0.31
1.80,0.30
1.80,0.30
1.80,0.31
1.80,0.32
1.80,0.33
1.80,0.36
1.80,0.36
1.80,0.37
1.90,0.42
2.00,0.37
2.00,0.40
2.00,0.40
2.01,0.44
2.02,0.37
2.10,0.38
2.10,0.38
2.10,0.39
2.10,0.39
2.10,0.41
2.10,0.46
2.20,0.40
2.20,0.40
2.20,0.40
2.20,0.42
2.20,0.42
2.20,0.44
2.20,0.46
2.20,0.47
2.30,0.40
2.30,0.40
2.30,0.44
2.30,0.46
2.40,0.40
2.40,0.50
2.40,0.51
2.40,0.52
2.40,0.58
2.44,0.42
2.50,0.42
2.50,0.52
2.60,0.45
2.60,0.56
2.70,0.42
2.70,0.44
2.70,0.52
2.80,0.42
2.80,0.44
2.80,0.48
2.80,0.48
2.80,0.50
2.80,0.56
2.80,0.58
2.80,0.58
2.90,0.54
3.00,0.52
3.00,0.56
3.00,0.58
3.00,0.60
3.10,0.44
3.10,0.56
3.10,0.59
3.10,0.60
3.20,0.50
3.20,0.62
3.20,0.63
3.30,0.56
3.40,0.52
3.40,0.56
3.40,0.58
3.40,0.61
3.50,0.50
3.50,0.58
3.50,0.62
3.50,0.64
3.50,0.64
3.60,0.59
3.60,0.61
3.60,0.62
3.60,0.64
3.70,0.59
3.70,0.59
3.70,0.60
3.70,0.60
3.80,0.64
3.80,0.66
3.80,0.66
3.80,0.66
3.90,0.62
3.90,0.68
4.00,0.64
4.00,0.74
4.10,0.72
4.20,0.63
4.20,0.66
4.20,0.80
4.30,0.66
4.30,0.80
4.40,0.63
4.40,0.66
4.50,0.80
4.60,0.72
4.60,0.74
4.60,0.80
5.10,0.86
5.20,0.86
