Quad,Sieve,HA,AMA,AMB,AMC,AMD,AME,AMF,AMG,AM?,IS,CU,CO,CAP,PN,DEC,PO,POG
11,<0.5mm,2012,52,0,0,116,0,0,0,0,64,28,16,0,0,0,0,0
10,<0.5mm,1668,24,0,0,16,0,0,0,0,48,44,4,0,0,0,0,0
9,<0.5mm,960,72,20,12,60,0,4,0,0,92,60,12,0,0,0,0,0
8,<0.5mm,1648,40,12,4,204,0,20,4,0,232,120,0,0,0,0,0,0
7,<0.5mm,456,36,8,0,8,0,0,0,0,24,16,12,8,0,0,0,0
6,<0.5mm,3972,68,0,0,488,0,32,0,0,512,400,16,32,0,0,0,0
5,<0.5mm,1148,136,0,12,112,0,4,4,0,128,108,8,12,0,0,0,0
4,<0.5mm,1244,24,24,0,4,0,0,0,0,4,32,12,4,0,0,0,0
3,<0.5mm,1928,88,0,0,72,4,36,0,0,248,84,0,4,0,0,0,0
2,<0.5mm,1036,104,12,0,4,0,0,0,0,21,12,0,8,0,0,0,0
11,0.5mm,0,13,0,0,3,0,3,2,0,1,0,2,6,2,0,0,0
10,0.5mm,0,9,1,1,0,0,6,0,0,0,2,1,0,0,0,0,0
9,0.5mm,3,41,3,0,3,0,8,2,0,5,5,2,1,1,1,0,0
8,0.5mm,0,8,4,0,1,0,4,0,0,2,0,0,1,1,0,0,0
7,0.5mm,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,0.5mm,0,21,0,3,6,0,11,0,3,4,2,2,5,3,0,9,0
5,0.5mm,0,71,2,2,0,0,3,1,0,3,1,0,5,1,0,1,0
4,0.5mm,0,11,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0
3,0.5mm,0,25,0,0,6,0,16,2,0,0,0,0,7,0,0,0,0
2,0.5mm,0,34,9,0,0,1,0,0,0,0,0,1,10,0,0,0,0
1,0.5mm,0,11,0,0,0,1,0,0,0,4,3,2,0,0,0,0,0
0,0.5mm,0,11,0,0,0,1,0,1,0,4,3,2,0,0,0,0,0
11,0.71mm,0,5,0,0,1,0,2,0,0,0,0,0,1,7,0,0,0
10,0.71mm,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1
9,0.71mm,0,12,5,1,0,0,2,1,0,0,0,0,1,0,0,0,0
8,0.71mm,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.71mm,0,3,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0
6,0.71mm,0,16,0,1,0,0,0,0,1,0,0,0,2,4,0,2,0
5,0.71mm,0,41,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2
4,0.71mm,0,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3,0.71mm,0,21,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
2,0.71mm,0,10,10,0,0,0,0,0,0,0,0,0,4,0,1,0,0
1,0.71mm,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
0,0.71mm,0,15,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0
11,1.0mm,0,4,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0
10,1.0mm,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1.0mm,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1.0mm,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1.0mm,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1.0mm,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,1.0mm,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
4,1.0mm,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0
3,1.0mm,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1.0mm,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0mm,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.0mm,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.4mm,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
10,1.4mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.4mm,0,4,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1
8,1.4mm,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,1.4mm,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1.4mm,0,10,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0
5,1.4mm,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,1.4mm,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.4mm,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.4mm,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.4mm,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
0,1.4mm,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
