Date,Tray_No,Wt_Tray,No_Item,Item_Type,Wt_Tray_Ash,Wt_Tray_DW
21/02/1983,9,12.534,10,HA,12.542,12.563
21/02/1983,10,12.56,10,HA,12.572,12.571
21/02/1983,11,12.757,10,HA,12.767,12.763
21/02/1983,12,13.321,7,CO,,13.343
21/02/1983,13,13.291,10,HA,13.298,13.3
21/02/1983,14,13.891,6,ISO,13.893,13.906
21/02/1983,15,13.977,10,HA,13.988,14.001
21/02/1983,16,14.17,10,HA,14.182,14.184
21/02/1983,17,14.052,10,HA,14.063,14.064
21/02/1983,18,13.896,10,HA,13.912,13.914
21/02/1983,19,13.51,50,HA,"13,536",13.595
21/02/1983,21,12.845,10,HA,12.86,12.856
21/02/1983,22,12.76,10,HA,12.773,12.772
21/02/1983,28,13.118,15,NM,13.137,13.146
