SN,LT,HA,CO,AMA,AMB,AMC,AMD,AME,AMF,AMG,AM?,CAP,CU,NM,PO,PN
1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,24,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,23,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,29,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
48,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,27,3,0,0,0,0,5,0,0,0,0,3,2,0,0,0
50,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,25,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,26,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,26,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
66,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,30,8,0,1,5,0,0,0,0,0,0,2,0,0,0,0
70,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,24,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,27,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,26,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,31,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0
81,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,25,12,0,0,1,0,0,0,0,0,0,0,1,1,0,0
87,26,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
88,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,22,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
