MONTH,HA,CO,AMA,AMO,PO,IS,NM,CAP,OST,GAS,BIV,DEC,CU
FEB,0,2,1,0,1,0,0,0,0,0,0,0,0
FEB,0,0,0,1,0,0,0,0,0,0,0,0,0
FEB,0,3,2,0,0,0,0,0,0,0,0,0,0
FEB,3,5,0,0,0,0,0,0,0,0,0,0,0
FEB,10,3,1,0,0,0,0,0,0,0,0,0,0
FEB,73,4,0,1,0,0,0,0,0,0,0,0,0
FEB,22,17,0,0,0,3,1,0,0,0,0,0,0
FEB,1,4,1,0,0,1,0,0,0,0,0,0,0
FEB,0,25,0,2,0,0,0,0,0,0,0,1,0
FEB,22,22,0,0,0,0,1,0,0,0,0,0,0
FEB,57,68,0,1,0,2,0,0,0,0,0,0,0
FEB,3,39,0,1,0,0,0,0,0,0,0,1,0
FEB,2,100,0,0,0,0,0,0,0,0,0,0,0
FEB,13,0,0,0,0,1,0,0,0,0,0,0,0
FEB,7,1,3,3,1,0,0,0,0,0,0,0,0
FEB,2,0,0,3,0,0,0,0,0,0,0,0,0
FEB,0,0,1,0,0,0,0,0,0,0,0,0,0
FEB,25,2,0,0,0,0,0,0,0,0,0,0,0
FEB,9,0,1,0,0,0,0,0,0,0,0,0,0
FEB,11,0,0,0,0,2,0,0,0,0,0,0,0
FEB,0,0,3,1,0,0,0,0,0,0,0,0,0
FEB,0,0,2,1,0,0,0,0,0,0,0,0,0
FEB,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB,8,0,0,0,0,0,0,0,0,0,0,0,0
FEB,0,0,0,0,0,0,0,0,0,0,0,0,0
APR,42,0,0,1,0,0,0,0,0,0,0,0,0
APR,2,0,0,0,1,0,0,0,0,0,0,0,0
APR,7,0,0,4,0,0,4,0,0,0,0,0,0
APR,8,13,0,2,0,2,0,0,0,0,0,0,0
APR,1,1,0,0,1,0,0,0,0,0,0,0,0
APR,15,0,1,7,0,3,0,0,0,0,0,0,0
APR,12,0,1,2,0,1,0,0,0,0,0,0,0
APR,0,0,1,0,0,1,0,0,0,0,0,0,0
APR,1,0,0,8,0,0,0,0,0,0,0,0,0
APR,0,0,1,2,0,0,0,0,0,0,0,0,0
APR,0,1,0,3,0,1,0,0,0,0,0,0,0
APR,0,0,0,0,0,0,0,0,0,0,0,0,0
APR,5,0,0,2,0,1,0,0,0,0,0,0,0
APR,5,0,3,5,1,1,0,0,0,1,0,0,0
APR,21,0,2,4,1,1,0,0,0,1,0,0,0
APR,0,10,0,1,0,1,0,1,0,1,0,0,0
APR,5,0,0,1,0,0,2,0,0,1,0,0,0
APR,13,0,4,2,1,1,0,0,0,0,0,0,0
APR,0,0,0,0,0,0,0,0,0,0,0,0,0
APR,4,0,0,0,0,0,0,0,0,0,0,0,0
APR,0,8,0,2,0,0,0,0,0,0,0,0,0
APR,10,1,0,2,0,0,0,0,0,0,0,0,0
APR,6,0,2,2,0,0,0,0,0,0,0,0,0
APR,17,0,1,0,0,1,0,0,0,0,0,0,0
APR,15,0,1,3,0,1,2,0,0,0,0,0,0
APR,23,5,0,1,0,1,1,0,0,0,0,0,2
APR,29,0,0,12,0,3,0,0,0,0,0,0,2
APR,0,0,0,0,0,0,0,0,0,0,0,1,0
APR,0,0,0,0,1,0,0,0,0,0,0,0,0
