Month,Fish ID,Prey ID,Prey Length
JAN,15,AMA,1.87
JAN,16,AMB,2.11
JAN,17,AMA,2.28
JAN,17,AMA,2.90
JAN,18,NIL,
JAN,28,AMB,3.70
JAN,30,AMB,2.85
JAN,31,NIL,
JAN,32,AMA,4.00
JAN,34,AMB,1.45
JAN,34,AMB,3.32
JAN,35,NIL,
JAN,36,AMA,3.12
JAN,37,AMA,2.15
JAN,38,NIL,
FEB,81,NIL,
FEB,83,AMB,1.03
FEB,83,AMB,1.21
FEB,83,AMB,1.38
FEB,83,AMA,2.30
FEB,84,NO RECORD,
FEB,91,AMA,4.40
FEB,92,NIL,
FEB,93,AMA,3.37
FEB,94,NIL,
FEB,99,AMA,3.47
FEB,99,AMA,4.93
FEB,99,AMA,4.82
FEB,99,AMB,2.67
FEB,100,AM?,1.37
FEB,100,AM?,4.50
FEB,100,AM?,2.75
FEB,101,NIL,
FEB,102,NIL,
FEB,103,NIL,
APR,130,AMD,1.13
APR,131,NIL,
APR,132,AMA,3.13
APR,132,AMD,0.90
APR,132,AMD,0.93
APR,132,AMD,0.92
APR,133,AMA,0.73
APR,133,AME,3.30
APR,135,NIL,
APR,136,AMA,2.38
APR,136,AMD,1.80
APR,136,AMD,1.30
APR,136,AMD,1.00
APR,136,AMD,1.08
APR,136,AMD,0.76
APR,136,AMD,1.08
APR,136,AMD,0.70
APR,136,AMD,0.55
APR,137,AMA,1.15
APR,137,AMA,0.73
APR,138,AMA,4.53
APR,140,AMB,3.20
APR,140,AMB,2.45
APR,140,AMB,2.25
APR,140,AMB,3.05
APR,140,AMB,2.60
APR,140,AMB,1.58
APR,140,AMB,1.05
APR,140,AMB,1.25
APR,141,AMA,3.00
APR,141,AMD,1.20
APR,141,AMD,1.32
APR,142,AMD,0.86
APR,142,AMD,1.90
APR,142,AMD,1.28
APR,143,NIL,
APR,144,NO RECORD,
APR,145,AMA,5.00
APR,145,AMA,4.63
APR,145,AMC,3.05
APR,145,AMC,1.40
APR,145,AMD,1.60
APR,145,AMD,1.63
APR,145,AMD,2.12
APR,146,AMA,3.75
APR,146,AMA,1.08
APR,146,AMD,0.94
APR,147,AMF,1.98
APR,148,AM?,0.83
APR,149,AMA,1.80
APR,149,AMA,2.80
APR,149,AMA,1.93
APR,149,AMA,1.00
APR,149,AM?,0.83
APR,169,NIL,
APR,170,NIL,
APR,171,AM?,1.54
APR,171,AM?,0.60
APR,172,AM?,1.27
APR,172,AM?,0.58
APR,174,AMA,2.75
APR,174,AMA,3.19
APR,174,AMB,0.70
APR,174,AMB,1.08
APR,176,AMA,4.33
APR,176,AMA,4.58
APR,176,AMA,1.65
APR,176,AME,2.30
APR,178,AM?,0.50
APR,178,AM?,0.60
APR,178,AM?,0.84
APR,178,AM?,0.38
APR,178,AM?,0.43
APR,178,AM?,0.49
APR,178,AM?,0.40
APR,178,AM?,0.34
APR,178,AM?,0.66
APR,178,AM?,0.45
